hgnc_id	symbol	locus_group	locus_type	status
HGNC:6135	ITGA10	protein-coding gene	gene with protein product	Approved
HGNC:6136	ITGA11	protein-coding gene	gene with protein product	Approved
HGNC:6146	ITGAD	protein-coding gene	gene with protein product	Approved
HGNC:6147	ITGAE	protein-coding gene	gene with protein product	Approved
HGNC:6148	ITGAL	protein-coding gene	gene with protein product	Approved
HGNC:6149	ITGAM	protein-coding gene	gene with protein product	Approved
HGNC:6150	ITGAV	protein-coding gene	gene with protein product	Approved
HGNC:6152	ITGAX	protein-coding gene	gene with protein product	Approved
HGNC:6153	ITGB1	protein-coding gene	gene with protein product	Approved
HGNC:23927	ITGB1BP1	protein-coding gene	gene with protein product	Approved
HGNC:6154	ITGB1BP2	protein-coding gene	gene with protein product	Approved
HGNC:6155	ITGB2	protein-coding gene	gene with protein product	Approved
HGNC:6156	ITGB3	protein-coding gene	gene with protein product	Approved
HGNC:6157	ITGB3BP	protein-coding gene	gene with protein product	Approved
HGNC:6158	ITGB4	protein-coding gene	gene with protein product	Approved
HGNC:6160	ITGB5	protein-coding gene	gene with protein product	Approved
HGNC:6161	ITGB6	protein-coding gene	gene with protein product	Approved
HGNC:6162	ITGB7	protein-coding gene	gene with protein product	Approved
HGNC:6163	ITGB8	protein-coding gene	gene with protein product	Approved
HGNC:6164	ITGBL1	protein-coding gene	gene with protein product	Approved
HGNC:6166	ITIH1	protein-coding gene	gene with protein product	Approved
HGNC:6167	ITIH2	protein-coding gene	gene with protein product	Approved
HGNC:6168	ITIH3	protein-coding gene	gene with protein product	Approved
HGNC:6169	ITIH4	protein-coding gene	gene with protein product	Approved
HGNC:21449	ITIH5	protein-coding gene	gene with protein product	Approved
HGNC:28907	ITIH6	protein-coding gene	gene with protein product	Approved
HGNC:6171	ITK	protein-coding gene	gene with protein product	Approved
HGNC:18259	ITLN1	protein-coding gene	gene with protein product	Approved
HGNC:20599	ITLN2	protein-coding gene	gene with protein product	Approved
HGNC:6173	ITM2A	protein-coding gene	gene with protein product	Approved
HGNC:6174	ITM2B	protein-coding gene	gene with protein product	Approved
HGNC:6175	ITM2C	protein-coding gene	gene with protein product	Approved
HGNC:6176	ITPA	protein-coding gene	gene with protein product	Approved
HGNC:6177	ITPK1	protein-coding gene	gene with protein product	Approved
HGNC:6178	ITPKA	protein-coding gene	gene with protein product	Approved
HGNC:6179	ITPKB	protein-coding gene	gene with protein product	Approved
HGNC:14897	ITPKC	protein-coding gene	gene with protein product	Approved
HGNC:6180	ITPR1	protein-coding gene	gene with protein product	Approved
HGNC:6181	ITPR2	protein-coding gene	gene with protein product	Approved
HGNC:6182	ITPR3	protein-coding gene	gene with protein product	Approved
HGNC:27363	ITPRID1	protein-coding gene	gene with protein product	Approved
HGNC:11319	ITPRID2	protein-coding gene	gene with protein product	Approved
HGNC:29370	ITPRIP	protein-coding gene	gene with protein product	Approved
HGNC:29371	ITPRIPL1	protein-coding gene	gene with protein product	Approved
HGNC:27257	ITPRIPL2	protein-coding gene	gene with protein product	Approved
HGNC:6183	ITSN1	protein-coding gene	gene with protein product	Approved
HGNC:6184	ITSN2	protein-coding gene	gene with protein product	Approved
HGNC:6186	IVD	protein-coding gene	gene with protein product	Approved
HGNC:6187	IVL	protein-coding gene	gene with protein product	Approved
HGNC:16951	IVNS1ABP	protein-coding gene	gene with protein product	Approved
HGNC:25467	IWS1	protein-coding gene	gene with protein product	Approved
HGNC:21071	IYD	protein-coding gene	gene with protein product	Approved
HGNC:28539	IZUMO1	protein-coding gene	gene with protein product	Approved
HGNC:32565	IZUMO1R	protein-coding gene	gene with protein product	Approved
HGNC:28518	IZUMO2	protein-coding gene	gene with protein product	Approved
HGNC:31421	IZUMO3	protein-coding gene	gene with protein product	Approved
HGNC:26950	IZUMO4	protein-coding gene	gene with protein product	Approved
HGNC:30027	JADE1	protein-coding gene	gene with protein product	Approved
HGNC:22984	JADE2	protein-coding gene	gene with protein product	Approved
HGNC:22982	JADE3	protein-coding gene	gene with protein product	Approved
HGNC:6188	JAG1	protein-coding gene	gene with protein product	Approved
HGNC:6189	JAG2	protein-coding gene	gene with protein product	Approved
HGNC:26926	JAGN1	protein-coding gene	gene with protein product	Approved
HGNC:6190	JAK1	protein-coding gene	gene with protein product	Approved
HGNC:6192	JAK2	protein-coding gene	gene with protein product	Approved
HGNC:6193	JAK3	protein-coding gene	gene with protein product	Approved
HGNC:26460	JAKMIP1	protein-coding gene	gene with protein product	Approved
HGNC:29067	JAKMIP2	protein-coding gene	gene with protein product	Approved
HGNC:23523	JAKMIP3	protein-coding gene	gene with protein product	Approved
HGNC:14686	JAM2	protein-coding gene	gene with protein product	Approved
HGNC:15532	JAM3	protein-coding gene	gene with protein product	Approved
HGNC:19084	JAML	protein-coding gene	gene with protein product	Approved
HGNC:6196	JARID2	protein-coding gene	gene with protein product	Approved
HGNC:28917	JAZF1	protein-coding gene	gene with protein product	Approved
HGNC:29283	JCAD	protein-coding gene	gene with protein product	Approved
HGNC:5713	JCHAIN	protein-coding gene	gene with protein product	Approved
HGNC:17546	JDP2	protein-coding gene	gene with protein product	Approved
HGNC:26288	JHY	protein-coding gene	gene with protein product	Approved
HGNC:20184	JKAMP	protein-coding gene	gene with protein product	Approved
HGNC:12313	JMJD1C	protein-coding gene	gene with protein product	Approved
HGNC:25724	JMJD4	protein-coding gene	gene with protein product	Approved
HGNC:19355	JMJD6	protein-coding gene	gene with protein product	Approved
HGNC:34397	JMJD7	protein-coding gene	gene with protein product	Approved
HGNC:14148	JMJD8	protein-coding gene	gene with protein product	Approved
HGNC:28916	JMY	protein-coding gene	gene with protein product	Approved
HGNC:28953	JOSD1	protein-coding gene	gene with protein product	Approved
HGNC:28853	JOSD2	protein-coding gene	gene with protein product	Approved
HGNC:14201	JPH1	protein-coding gene	gene with protein product	Approved
HGNC:14202	JPH2	protein-coding gene	gene with protein product	Approved
HGNC:14203	JPH3	protein-coding gene	gene with protein product	Approved
HGNC:20156	JPH4	protein-coding gene	gene with protein product	Approved
HGNC:14569	JPT1	protein-coding gene	gene with protein product	Approved
HGNC:14137	JPT2	protein-coding gene	gene with protein product	Approved
HGNC:6199	JRK	protein-coding gene	gene with protein product	Approved
HGNC:6200	JRKL	protein-coding gene	gene with protein product	Approved
HGNC:24963	JSRP1	protein-coding gene	gene with protein product	Approved
HGNC:6201	JTB	protein-coding gene	gene with protein product	Approved
HGNC:6204	JUN	protein-coding gene	gene with protein product	Approved
HGNC:6205	JUNB	protein-coding gene	gene with protein product	Approved
HGNC:6206	JUND	protein-coding gene	gene with protein product	Approved
HGNC:6207	JUP	protein-coding gene	gene with protein product	Approved
HGNC:4814	KALRN	protein-coding gene	gene with protein product	Approved
HGNC:59231	KANGD1	protein-coding gene	gene with protein product	Approved
HGNC:19309	KANK1	protein-coding gene	gene with protein product	Approved
HGNC:29300	KANK2	protein-coding gene	gene with protein product	Approved
HGNC:24796	KANK3	protein-coding gene	gene with protein product	Approved
HGNC:27263	KANK4	protein-coding gene	gene with protein product	Approved
HGNC:24565	KANSL1	protein-coding gene	gene with protein product	Approved
HGNC:26310	KANSL1L	protein-coding gene	gene with protein product	Approved
HGNC:26024	KANSL2	protein-coding gene	gene with protein product	Approved
HGNC:25473	KANSL3	protein-coding gene	gene with protein product	Approved
HGNC:49510	KANTR	protein-coding gene	gene with protein product	Approved
HGNC:6215	KARS1	protein-coding gene	gene with protein product	Approved
HGNC:26520	KASH5	protein-coding gene	gene with protein product	Approved
HGNC:4201	KAT2A	protein-coding gene	gene with protein product	Approved
HGNC:8638	KAT2B	protein-coding gene	gene with protein product	Approved
HGNC:5275	KAT5	protein-coding gene	gene with protein product	Approved
HGNC:13013	KAT6A	protein-coding gene	gene with protein product	Approved
HGNC:17582	KAT6B	protein-coding gene	gene with protein product	Approved
HGNC:17016	KAT7	protein-coding gene	gene with protein product	Approved
HGNC:17933	KAT8	protein-coding gene	gene with protein product	Approved
HGNC:15904	KAT14	protein-coding gene	gene with protein product	Approved
HGNC:6216	KATNA1	protein-coding gene	gene with protein product	Approved
HGNC:28361	KATNAL1	protein-coding gene	gene with protein product	Approved
HGNC:25387	KATNAL2	protein-coding gene	gene with protein product	Approved
HGNC:6217	KATNB1	protein-coding gene	gene with protein product	Approved
HGNC:26199	KATNBL1	protein-coding gene	gene with protein product	Approved
HGNC:29068	KATNIP	protein-coding gene	gene with protein product	Approved
HGNC:25460	KAZALD1	protein-coding gene	gene with protein product	Approved
HGNC:29173	KAZN	protein-coding gene	gene with protein product	Approved
HGNC:21751	KBTBD2	protein-coding gene	gene with protein product	Approved
HGNC:22934	KBTBD3	protein-coding gene	gene with protein product	Approved
HGNC:23761	KBTBD4	protein-coding gene	gene with protein product	Approved
HGNC:25340	KBTBD6	protein-coding gene	gene with protein product	Approved
HGNC:25266	KBTBD7	protein-coding gene	gene with protein product	Approved
HGNC:30691	KBTBD8	protein-coding gene	gene with protein product	Approved
HGNC:29104	KBTBD11	protein-coding gene	gene with protein product	Approved
HGNC:25731	KBTBD12	protein-coding gene	gene with protein product	Approved
HGNC:37227	KBTBD13	protein-coding gene	gene with protein product	Approved
HGNC:20589	KCMF1	protein-coding gene	gene with protein product	Approved
HGNC:6218	KCNA1	protein-coding gene	gene with protein product	Approved
HGNC:6220	KCNA2	protein-coding gene	gene with protein product	Approved
HGNC:6221	KCNA3	protein-coding gene	gene with protein product	Approved
HGNC:6222	KCNA4	protein-coding gene	gene with protein product	Approved
HGNC:6224	KCNA5	protein-coding gene	gene with protein product	Approved
HGNC:6225	KCNA6	protein-coding gene	gene with protein product	Approved
HGNC:6226	KCNA7	protein-coding gene	gene with protein product	Approved
HGNC:6219	KCNA10	protein-coding gene	gene with protein product	Approved
HGNC:6228	KCNAB1	protein-coding gene	gene with protein product	Approved
HGNC:6229	KCNAB2	protein-coding gene	gene with protein product	Approved
HGNC:6230	KCNAB3	protein-coding gene	gene with protein product	Approved
HGNC:6231	KCNB1	protein-coding gene	gene with protein product	Approved
HGNC:6232	KCNB2	protein-coding gene	gene with protein product	Approved
HGNC:6233	KCNC1	protein-coding gene	gene with protein product	Approved
HGNC:6234	KCNC2	protein-coding gene	gene with protein product	Approved
HGNC:6235	KCNC3	protein-coding gene	gene with protein product	Approved
HGNC:6236	KCNC4	protein-coding gene	gene with protein product	Approved
HGNC:6237	KCND1	protein-coding gene	gene with protein product	Approved
HGNC:6238	KCND2	protein-coding gene	gene with protein product	Approved
HGNC:6239	KCND3	protein-coding gene	gene with protein product	Approved
HGNC:6240	KCNE1	protein-coding gene	gene with protein product	Approved
HGNC:6242	KCNE2	protein-coding gene	gene with protein product	Approved
HGNC:6243	KCNE3	protein-coding gene	gene with protein product	Approved
HGNC:6244	KCNE4	protein-coding gene	gene with protein product	Approved
HGNC:6241	KCNE5	protein-coding gene	gene with protein product	Approved
HGNC:6246	KCNF1	protein-coding gene	gene with protein product	Approved
HGNC:6248	KCNG1	protein-coding gene	gene with protein product	Approved
HGNC:6249	KCNG2	protein-coding gene	gene with protein product	Approved
HGNC:18306	KCNG3	protein-coding gene	gene with protein product	Approved
HGNC:19697	KCNG4	protein-coding gene	gene with protein product	Approved
HGNC:6250	KCNH1	protein-coding gene	gene with protein product	Approved
HGNC:6251	KCNH2	protein-coding gene	gene with protein product	Approved
HGNC:6252	KCNH3	protein-coding gene	gene with protein product	Approved
HGNC:6253	KCNH4	protein-coding gene	gene with protein product	Approved
HGNC:6254	KCNH5	protein-coding gene	gene with protein product	Approved
HGNC:18862	KCNH6	protein-coding gene	gene with protein product	Approved
HGNC:18863	KCNH7	protein-coding gene	gene with protein product	Approved
HGNC:18864	KCNH8	protein-coding gene	gene with protein product	Approved
HGNC:15521	KCNIP1	protein-coding gene	gene with protein product	Approved
HGNC:15522	KCNIP2	protein-coding gene	gene with protein product	Approved
HGNC:15523	KCNIP3	protein-coding gene	gene with protein product	Approved
HGNC:30083	KCNIP4	protein-coding gene	gene with protein product	Approved
HGNC:6255	KCNJ1	protein-coding gene	gene with protein product	Approved
HGNC:6263	KCNJ2	protein-coding gene	gene with protein product	Approved
HGNC:6264	KCNJ3	protein-coding gene	gene with protein product	Approved
HGNC:6265	KCNJ4	protein-coding gene	gene with protein product	Approved
HGNC:6266	KCNJ5	protein-coding gene	gene with protein product	Approved
HGNC:6267	KCNJ6	protein-coding gene	gene with protein product	Approved
HGNC:6269	KCNJ8	protein-coding gene	gene with protein product	Approved
HGNC:6270	KCNJ9	protein-coding gene	gene with protein product	Approved
HGNC:6256	KCNJ10	protein-coding gene	gene with protein product	Approved
HGNC:6257	KCNJ11	protein-coding gene	gene with protein product	Approved
HGNC:6258	KCNJ12	protein-coding gene	gene with protein product	Approved
HGNC:6259	KCNJ13	protein-coding gene	gene with protein product	Approved
HGNC:6260	KCNJ14	protein-coding gene	gene with protein product	Approved
HGNC:6261	KCNJ15	protein-coding gene	gene with protein product	Approved
HGNC:6262	KCNJ16	protein-coding gene	gene with protein product	Approved
HGNC:39080	KCNJ18	protein-coding gene	gene with protein product	Approved
HGNC:6272	KCNK1	protein-coding gene	gene with protein product	Approved
HGNC:6277	KCNK2	protein-coding gene	gene with protein product	Approved
HGNC:6278	KCNK3	protein-coding gene	gene with protein product	Approved
HGNC:6279	KCNK4	protein-coding gene	gene with protein product	Approved
HGNC:6280	KCNK5	protein-coding gene	gene with protein product	Approved
HGNC:6281	KCNK6	protein-coding gene	gene with protein product	Approved
HGNC:6282	KCNK7	protein-coding gene	gene with protein product	Approved
HGNC:6283	KCNK9	protein-coding gene	gene with protein product	Approved
HGNC:6273	KCNK10	protein-coding gene	gene with protein product	Approved
HGNC:6274	KCNK12	protein-coding gene	gene with protein product	Approved
HGNC:6275	KCNK13	protein-coding gene	gene with protein product	Approved
HGNC:13814	KCNK15	protein-coding gene	gene with protein product	Approved
HGNC:14464	KCNK16	protein-coding gene	gene with protein product	Approved
HGNC:14465	KCNK17	protein-coding gene	gene with protein product	Approved
HGNC:19439	KCNK18	protein-coding gene	gene with protein product	Approved
HGNC:6284	KCNMA1	protein-coding gene	gene with protein product	Approved
HGNC:6285	KCNMB1	protein-coding gene	gene with protein product	Approved
HGNC:6286	KCNMB2	protein-coding gene	gene with protein product	Approved
HGNC:6287	KCNMB3	protein-coding gene	gene with protein product	Approved
HGNC:6289	KCNMB4	protein-coding gene	gene with protein product	Approved
HGNC:6290	KCNN1	protein-coding gene	gene with protein product	Approved
HGNC:6291	KCNN2	protein-coding gene	gene with protein product	Approved
HGNC:6292	KCNN3	protein-coding gene	gene with protein product	Approved
HGNC:6293	KCNN4	protein-coding gene	gene with protein product	Approved
HGNC:6294	KCNQ1	protein-coding gene	gene with protein product	Approved
HGNC:6296	KCNQ2	protein-coding gene	gene with protein product	Approved
HGNC:6297	KCNQ3	protein-coding gene	gene with protein product	Approved
HGNC:6298	KCNQ4	protein-coding gene	gene with protein product	Approved
HGNC:6299	KCNQ5	protein-coding gene	gene with protein product	Approved
HGNC:18893	KCNRG	protein-coding gene	gene with protein product	Approved
HGNC:6300	KCNS1	protein-coding gene	gene with protein product	Approved
HGNC:6301	KCNS2	protein-coding gene	gene with protein product	Approved
HGNC:6302	KCNS3	protein-coding gene	gene with protein product	Approved
HGNC:18865	KCNT1	protein-coding gene	gene with protein product	Approved
HGNC:18866	KCNT2	protein-coding gene	gene with protein product	Approved
HGNC:18867	KCNU1	protein-coding gene	gene with protein product	Approved
HGNC:18861	KCNV1	protein-coding gene	gene with protein product	Approved
HGNC:19698	KCNV2	protein-coding gene	gene with protein product	Approved
HGNC:17585	KCP	protein-coding gene	gene with protein product	Approved
HGNC:18249	KCTD1	protein-coding gene	gene with protein product	Approved
HGNC:21294	KCTD2	protein-coding gene	gene with protein product	Approved
HGNC:21305	KCTD3	protein-coding gene	gene with protein product	Approved
HGNC:23227	KCTD4	protein-coding gene	gene with protein product	Approved
HGNC:21423	KCTD5	protein-coding gene	gene with protein product	Approved
HGNC:22235	KCTD6	protein-coding gene	gene with protein product	Approved
HGNC:21957	KCTD7	protein-coding gene	gene with protein product	Approved
HGNC:22394	KCTD8	protein-coding gene	gene with protein product	Approved
HGNC:22401	KCTD9	protein-coding gene	gene with protein product	Approved
HGNC:23236	KCTD10	protein-coding gene	gene with protein product	Approved
HGNC:21302	KCTD11	protein-coding gene	gene with protein product	Approved
HGNC:14678	KCTD12	protein-coding gene	gene with protein product	Approved
HGNC:22234	KCTD13	protein-coding gene	gene with protein product	Approved
HGNC:23295	KCTD14	protein-coding gene	gene with protein product	Approved
HGNC:23297	KCTD15	protein-coding gene	gene with protein product	Approved
HGNC:29244	KCTD16	protein-coding gene	gene with protein product	Approved
HGNC:25705	KCTD17	protein-coding gene	gene with protein product	Approved
HGNC:26446	KCTD18	protein-coding gene	gene with protein product	Approved
HGNC:24753	KCTD19	protein-coding gene	gene with protein product	Approved
HGNC:21052	KCTD20	protein-coding gene	gene with protein product	Approved
HGNC:27452	KCTD21	protein-coding gene	gene with protein product	Approved
HGNC:6304	KDELR1	protein-coding gene	gene with protein product	Approved
HGNC:6305	KDELR2	protein-coding gene	gene with protein product	Approved
HGNC:6306	KDELR3	protein-coding gene	gene with protein product	Approved
HGNC:26624	KDF1	protein-coding gene	gene with protein product	Approved
HGNC:29079	KDM1A	protein-coding gene	gene with protein product	Approved
HGNC:21577	KDM1B	protein-coding gene	gene with protein product	Approved
HGNC:13606	KDM2A	protein-coding gene	gene with protein product	Approved
HGNC:13610	KDM2B	protein-coding gene	gene with protein product	Approved
HGNC:20815	KDM3A	protein-coding gene	gene with protein product	Approved
HGNC:1337	KDM3B	protein-coding gene	gene with protein product	Approved
HGNC:22978	KDM4A	protein-coding gene	gene with protein product	Approved
HGNC:29136	KDM4B	protein-coding gene	gene with protein product	Approved
HGNC:17071	KDM4C	protein-coding gene	gene with protein product	Approved
HGNC:25498	KDM4D	protein-coding gene	gene with protein product	Approved
HGNC:37098	KDM4E	protein-coding gene	gene with protein product	Approved
HGNC:52413	KDM4F	protein-coding gene	gene with protein product	Approved
HGNC:9886	KDM5A	protein-coding gene	gene with protein product	Approved
HGNC:18039	KDM5B	protein-coding gene	gene with protein product	Approved
HGNC:11114	KDM5C	protein-coding gene	gene with protein product	Approved
HGNC:11115	KDM5D	protein-coding gene	gene with protein product	Approved
HGNC:12637	KDM6A	protein-coding gene	gene with protein product	Approved
HGNC:29012	KDM6B	protein-coding gene	gene with protein product	Approved
HGNC:22224	KDM7A	protein-coding gene	gene with protein product	Approved
HGNC:25840	KDM8	protein-coding gene	gene with protein product	Approved
HGNC:6307	KDR	protein-coding gene	gene with protein product	Approved
HGNC:4021	KDSR	protein-coding gene	gene with protein product	Approved
HGNC:23177	KEAP1	protein-coding gene	gene with protein product	Approved
HGNC:6308	KEL	protein-coding gene	gene with protein product	Approved
HGNC:6309	KERA	protein-coding gene	gene with protein product	Approved
HGNC:16631	KGD4	protein-coding gene	gene with protein product	Approved
HGNC:21366	KHDC1	protein-coding gene	gene with protein product	Approved
HGNC:37274	KHDC1L	protein-coding gene	gene with protein product	Approved
HGNC:33699	KHDC3L	protein-coding gene	gene with protein product	Approved
HGNC:29145	KHDC4	protein-coding gene	gene with protein product	Approved
HGNC:18116	KHDRBS1	protein-coding gene	gene with protein product	Approved
HGNC:18114	KHDRBS2	protein-coding gene	gene with protein product	Approved
HGNC:18117	KHDRBS3	protein-coding gene	gene with protein product	Approved
HGNC:6315	KHK	protein-coding gene	gene with protein product	Approved
HGNC:20166	KHNYN	protein-coding gene	gene with protein product	Approved
HGNC:6316	KHSRP	protein-coding gene	gene with protein product	Approved
HGNC:28950	KIAA0040	protein-coding gene	gene with protein product	Approved
HGNC:28992	KIAA0232	protein-coding gene	gene with protein product	Approved
HGNC:21580	KIAA0319	protein-coding gene	gene with protein product	Approved
HGNC:30071	KIAA0319L	protein-coding gene	gene with protein product	Approved
HGNC:21636	KIAA0408	protein-coding gene	gene with protein product	Approved
HGNC:29058	KIAA0513	protein-coding gene	gene with protein product	Approved
HGNC:19960	KIAA0586	protein-coding gene	gene with protein product	Approved
HGNC:29110	KIAA0753	protein-coding gene	gene with protein product	Approved
HGNC:28532	KIAA0825	protein-coding gene	gene with protein product	Approved
HGNC:1314	KIAA0930	protein-coding gene	gene with protein product	Approved
HGNC:29198	KIAA1143	protein-coding gene	gene with protein product	Approved
HGNC:29209	KIAA1191	protein-coding gene	gene with protein product	Approved
HGNC:29218	KIAA1210	protein-coding gene	gene with protein product	Approved
HGNC:25428	KIAA1217	protein-coding gene	gene with protein product	Approved
HGNC:29248	KIAA1328	protein-coding gene	gene with protein product	Approved
HGNC:22219	KIAA1549	protein-coding gene	gene with protein product	Approved
HGNC:24836	KIAA1549L	protein-coding gene	gene with protein product	Approved
HGNC:21360	KIAA1586	protein-coding gene	gene with protein product	Approved
HGNC:29327	KIAA1614	protein-coding gene	gene with protein product	Approved
HGNC:29345	KIAA1671	protein-coding gene	gene with protein product	Approved
HGNC:29372	KIAA1755	protein-coding gene	gene with protein product	Approved
HGNC:23427	KIAA1958	protein-coding gene	gene with protein product	Approved
HGNC:51250	KIAA2012	protein-coding gene	gene with protein product	Approved
HGNC:28513	KIAA2013	protein-coding gene	gene with protein product	Approved
HGNC:26517	KICS2	protein-coding gene	gene with protein product	Approved
HGNC:29508	KIDINS220	protein-coding gene	gene with protein product	Approved
HGNC:888	KIF1A	protein-coding gene	gene with protein product	Approved
HGNC:16636	KIF1B	protein-coding gene	gene with protein product	Approved
HGNC:6317	KIF1C	protein-coding gene	gene with protein product	Approved
HGNC:6318	KIF2A	protein-coding gene	gene with protein product	Approved
HGNC:29443	KIF2B	protein-coding gene	gene with protein product	Approved
HGNC:6393	KIF2C	protein-coding gene	gene with protein product	Approved
HGNC:6319	KIF3A	protein-coding gene	gene with protein product	Approved
HGNC:6320	KIF3B	protein-coding gene	gene with protein product	Approved
HGNC:6321	KIF3C	protein-coding gene	gene with protein product	Approved
HGNC:13339	KIF4A	protein-coding gene	gene with protein product	Approved
HGNC:6322	KIF4B	protein-coding gene	gene with protein product	Approved
HGNC:6323	KIF5A	protein-coding gene	gene with protein product	Approved
HGNC:6324	KIF5B	protein-coding gene	gene with protein product	Approved
HGNC:6325	KIF5C	protein-coding gene	gene with protein product	Approved
HGNC:21202	KIF6	protein-coding gene	gene with protein product	Approved
HGNC:30497	KIF7	protein-coding gene	gene with protein product	Approved
HGNC:16666	KIF9	protein-coding gene	gene with protein product	Approved
HGNC:6388	KIF11	protein-coding gene	gene with protein product	Approved
HGNC:21495	KIF12	protein-coding gene	gene with protein product	Approved
HGNC:14566	KIF13A	protein-coding gene	gene with protein product	Approved
HGNC:14405	KIF13B	protein-coding gene	gene with protein product	Approved
HGNC:19181	KIF14	protein-coding gene	gene with protein product	Approved
HGNC:17273	KIF15	protein-coding gene	gene with protein product	Approved
HGNC:15869	KIF16B	protein-coding gene	gene with protein product	Approved
HGNC:19167	KIF17	protein-coding gene	gene with protein product	Approved
HGNC:29441	KIF18A	protein-coding gene	gene with protein product	Approved
HGNC:27102	KIF18B	protein-coding gene	gene with protein product	Approved
HGNC:26735	KIF19	protein-coding gene	gene with protein product	Approved
HGNC:9787	KIF20A	protein-coding gene	gene with protein product	Approved
HGNC:7212	KIF20B	protein-coding gene	gene with protein product	Approved
HGNC:19349	KIF21A	protein-coding gene	gene with protein product	Approved
HGNC:29442	KIF21B	protein-coding gene	gene with protein product	Approved
HGNC:6391	KIF22	protein-coding gene	gene with protein product	Approved
HGNC:6392	KIF23	protein-coding gene	gene with protein product	Approved
HGNC:19916	KIF24	protein-coding gene	gene with protein product	Approved
HGNC:6390	KIF25	protein-coding gene	gene with protein product	Approved
HGNC:20226	KIF26A	protein-coding gene	gene with protein product	Approved
HGNC:25484	KIF26B	protein-coding gene	gene with protein product	Approved
HGNC:18632	KIF27	protein-coding gene	gene with protein product	Approved
HGNC:17060	KIFAP3	protein-coding gene	gene with protein product	Approved
HGNC:23419	KIFBP	protein-coding gene	gene with protein product	Approved
HGNC:6389	KIFC1	protein-coding gene	gene with protein product	Approved
HGNC:29530	KIFC2	protein-coding gene	gene with protein product	Approved
HGNC:6326	KIFC3	protein-coding gene	gene with protein product	Approved
HGNC:6327	KIN	protein-coding gene	gene with protein product	Approved
HGNC:6329	KIR2DL1	protein-coding gene	gene with protein product	Approved
HGNC:6330	KIR2DL2	protein-coding gene	gene with protein product	Approved
HGNC:6331	KIR2DL3	protein-coding gene	gene with protein product	Approved
HGNC:6332	KIR2DL4	protein-coding gene	gene with protein product	Approved
HGNC:16345	KIR2DL5A	protein-coding gene	gene with protein product	Approved
HGNC:16346	KIR2DL5B	protein-coding gene	gene with protein product	Approved
HGNC:6333	KIR2DS1	protein-coding gene	gene with protein product	Approved
HGNC:6334	KIR2DS2	protein-coding gene	gene with protein product	Approved
HGNC:6335	KIR2DS3	protein-coding gene	gene with protein product	Approved
HGNC:6336	KIR2DS4	protein-coding gene	gene with protein product	Approved
HGNC:6337	KIR2DS5	protein-coding gene	gene with protein product	Approved
HGNC:6338	KIR3DL1	protein-coding gene	gene with protein product	Approved
HGNC:6339	KIR3DL2	protein-coding gene	gene with protein product	Approved
HGNC:16312	KIR3DL3	protein-coding gene	gene with protein product	Approved
HGNC:6340	KIR3DS1	protein-coding gene	gene with protein product	Approved
HGNC:15734	KIRREL1	protein-coding gene	gene with protein product	Approved
HGNC:18816	KIRREL2	protein-coding gene	gene with protein product	Approved
HGNC:23204	KIRREL3	protein-coding gene	gene with protein product	Approved
HGNC:6341	KISS1	protein-coding gene	gene with protein product	Approved
HGNC:4510	KISS1R	protein-coding gene	gene with protein product	Approved
HGNC:6342	KIT	protein-coding gene	gene with protein product	Approved
HGNC:6343	KITLG	protein-coding gene	gene with protein product	Approved
HGNC:15865	KIZ	protein-coding gene	gene with protein product	Approved
HGNC:6344	KL	protein-coding gene	gene with protein product	Approved
HGNC:15527	KLB	protein-coding gene	gene with protein product	Approved
HGNC:6387	KLC1	protein-coding gene	gene with protein product	Approved
HGNC:20716	KLC2	protein-coding gene	gene with protein product	Approved
HGNC:20717	KLC3	protein-coding gene	gene with protein product	Approved
HGNC:21624	KLC4	protein-coding gene	gene with protein product	Approved
HGNC:6345	KLF1	protein-coding gene	gene with protein product	Approved
HGNC:6347	KLF2	protein-coding gene	gene with protein product	Approved
HGNC:16516	KLF3	protein-coding gene	gene with protein product	Approved
HGNC:6348	KLF4	protein-coding gene	gene with protein product	Approved
HGNC:6349	KLF5	protein-coding gene	gene with protein product	Approved
HGNC:2235	KLF6	protein-coding gene	gene with protein product	Approved
HGNC:6350	KLF7	protein-coding gene	gene with protein product	Approved
HGNC:6351	KLF8	protein-coding gene	gene with protein product	Approved
HGNC:1123	KLF9	protein-coding gene	gene with protein product	Approved
HGNC:11810	KLF10	protein-coding gene	gene with protein product	Approved
HGNC:11811	KLF11	protein-coding gene	gene with protein product	Approved
HGNC:6346	KLF12	protein-coding gene	gene with protein product	Approved
HGNC:13672	KLF13	protein-coding gene	gene with protein product	Approved
HGNC:23025	KLF14	protein-coding gene	gene with protein product	Approved
HGNC:14536	KLF15	protein-coding gene	gene with protein product	Approved
HGNC:16857	KLF16	protein-coding gene	gene with protein product	Approved
HGNC:18830	KLF17	protein-coding gene	gene with protein product	Approved
HGNC:51793	KLF18	protein-coding gene	gene with protein product	Approved
HGNC:19836	KLHDC1	protein-coding gene	gene with protein product	Approved
HGNC:20231	KLHDC2	protein-coding gene	gene with protein product	Approved
HGNC:20704	KLHDC3	protein-coding gene	gene with protein product	Approved
HGNC:25272	KLHDC4	protein-coding gene	gene with protein product	Approved
HGNC:26791	KLHDC7A	protein-coding gene	gene with protein product	Approved
HGNC:25145	KLHDC7B	protein-coding gene	gene with protein product	Approved
