hgnc_id	symbol	locus_group	locus_type	status
HGNC:23337	ACBD4	protein-coding gene	gene with protein product	Approved
HGNC:23338	ACBD5	protein-coding gene	gene with protein product	Approved
HGNC:23339	ACBD6	protein-coding gene	gene with protein product	Approved
HGNC:17715	ACBD7	protein-coding gene	gene with protein product	Approved
HGNC:23989	ACCS	protein-coding gene	gene with protein product	Approved
HGNC:34391	ACCSL	protein-coding gene	gene with protein product	Approved
HGNC:25070	ACD	protein-coding gene	gene with protein product	Approved
HGNC:2707	ACE	protein-coding gene	gene with protein product	Approved
HGNC:13557	ACE2	protein-coding gene	gene with protein product	Approved
HGNC:18356	ACER1	protein-coding gene	gene with protein product	Approved
HGNC:23675	ACER2	protein-coding gene	gene with protein product	Approved
HGNC:16066	ACER3	protein-coding gene	gene with protein product	Approved
HGNC:108	ACHE	protein-coding gene	gene with protein product	Approved
HGNC:17066	ACIN1	protein-coding gene	gene with protein product	Approved
HGNC:4035	ACKR1	protein-coding gene	gene with protein product	Approved
HGNC:1565	ACKR2	protein-coding gene	gene with protein product	Approved
HGNC:23692	ACKR3	protein-coding gene	gene with protein product	Approved
HGNC:1611	ACKR4	protein-coding gene	gene with protein product	Approved
HGNC:13708	ACKR5	protein-coding gene	gene with protein product	Approved
HGNC:115	ACLY	protein-coding gene	gene with protein product	Approved
HGNC:19288	ACMSD	protein-coding gene	gene with protein product	Approved
HGNC:117	ACO1	protein-coding gene	gene with protein product	Approved
HGNC:118	ACO2	protein-coding gene	gene with protein product	Approved
HGNC:33904	ACOD1	protein-coding gene	gene with protein product	Approved
HGNC:33128	ACOT1	protein-coding gene	gene with protein product	Approved
HGNC:18431	ACOT2	protein-coding gene	gene with protein product	Approved
HGNC:19748	ACOT4	protein-coding gene	gene with protein product	Approved
HGNC:33159	ACOT6	protein-coding gene	gene with protein product	Approved
HGNC:24157	ACOT7	protein-coding gene	gene with protein product	Approved
HGNC:15919	ACOT8	protein-coding gene	gene with protein product	Approved
HGNC:17152	ACOT9	protein-coding gene	gene with protein product	Approved
HGNC:18156	ACOT11	protein-coding gene	gene with protein product	Approved
HGNC:24436	ACOT12	protein-coding gene	gene with protein product	Approved
HGNC:20999	ACOT13	protein-coding gene	gene with protein product	Approved
HGNC:119	ACOX1	protein-coding gene	gene with protein product	Approved
HGNC:120	ACOX2	protein-coding gene	gene with protein product	Approved
HGNC:121	ACOX3	protein-coding gene	gene with protein product	Approved
HGNC:25621	ACOXL	protein-coding gene	gene with protein product	Approved
HGNC:122	ACP1	protein-coding gene	gene with protein product	Approved
HGNC:123	ACP2	protein-coding gene	gene with protein product	Approved
HGNC:125	ACP3	protein-coding gene	gene with protein product	Approved
HGNC:14376	ACP4	protein-coding gene	gene with protein product	Approved
HGNC:124	ACP5	protein-coding gene	gene with protein product	Approved
HGNC:29609	ACP6	protein-coding gene	gene with protein product	Approved
HGNC:33781	ACP7	protein-coding gene	gene with protein product	Approved
HGNC:126	ACR	protein-coding gene	gene with protein product	Approved
HGNC:17195	ACRBP	protein-coding gene	gene with protein product	Approved
HGNC:127	ACRV1	protein-coding gene	gene with protein product	Approved
HGNC:29567	ACSBG1	protein-coding gene	gene with protein product	Approved
HGNC:24174	ACSBG2	protein-coding gene	gene with protein product	Approved
HGNC:26101	ACSF2	protein-coding gene	gene with protein product	Approved
HGNC:27288	ACSF3	protein-coding gene	gene with protein product	Approved
HGNC:3569	ACSL1	protein-coding gene	gene with protein product	Approved
HGNC:3570	ACSL3	protein-coding gene	gene with protein product	Approved
HGNC:3571	ACSL4	protein-coding gene	gene with protein product	Approved
HGNC:16526	ACSL5	protein-coding gene	gene with protein product	Approved
HGNC:16496	ACSL6	protein-coding gene	gene with protein product	Approved
HGNC:18049	ACSM1	protein-coding gene	gene with protein product	Approved
HGNC:32017	ACSM2A	protein-coding gene	gene with protein product	Approved
HGNC:30931	ACSM2B	protein-coding gene	gene with protein product	Approved
HGNC:10522	ACSM3	protein-coding gene	gene with protein product	Approved
HGNC:32016	ACSM4	protein-coding gene	gene with protein product	Approved
HGNC:26060	ACSM5	protein-coding gene	gene with protein product	Approved
HGNC:31665	ACSM6	protein-coding gene	gene with protein product	Approved
HGNC:16091	ACSS1	protein-coding gene	gene with protein product	Approved
HGNC:15814	ACSS2	protein-coding gene	gene with protein product	Approved
HGNC:24723	ACSS3	protein-coding gene	gene with protein product	Approved
HGNC:129	ACTA1	protein-coding gene	gene with protein product	Approved
HGNC:130	ACTA2	protein-coding gene	gene with protein product	Approved
HGNC:132	ACTB	protein-coding gene	gene with protein product	Approved
HGNC:17780	ACTBL2	protein-coding gene	gene with protein product	Approved
HGNC:143	ACTC1	protein-coding gene	gene with protein product	Approved
HGNC:144	ACTG1	protein-coding gene	gene with protein product	Approved
HGNC:145	ACTG2	protein-coding gene	gene with protein product	Approved
HGNC:24124	ACTL6A	protein-coding gene	gene with protein product	Approved
HGNC:160	ACTL6B	protein-coding gene	gene with protein product	Approved
HGNC:161	ACTL7A	protein-coding gene	gene with protein product	Approved
HGNC:162	ACTL7B	protein-coding gene	gene with protein product	Approved
HGNC:24018	ACTL8	protein-coding gene	gene with protein product	Approved
HGNC:28494	ACTL9	protein-coding gene	gene with protein product	Approved
HGNC:16127	ACTL10	protein-coding gene	gene with protein product	Approved
HGNC:24758	ACTMAP	protein-coding gene	gene with protein product	Approved
HGNC:163	ACTN1	protein-coding gene	gene with protein product	Approved
HGNC:164	ACTN2	protein-coding gene	gene with protein product	Approved
HGNC:165	ACTN3	protein-coding gene	gene with protein product	Approved
HGNC:166	ACTN4	protein-coding gene	gene with protein product	Approved
HGNC:167	ACTR1A	protein-coding gene	gene with protein product	Approved
HGNC:168	ACTR1B	protein-coding gene	gene with protein product	Approved
HGNC:169	ACTR2	protein-coding gene	gene with protein product	Approved
HGNC:170	ACTR3	protein-coding gene	gene with protein product	Approved
HGNC:17256	ACTR3B	protein-coding gene	gene with protein product	Approved
HGNC:37282	ACTR3C	protein-coding gene	gene with protein product	Approved
HGNC:14671	ACTR5	protein-coding gene	gene with protein product	Approved
HGNC:24025	ACTR6	protein-coding gene	gene with protein product	Approved
HGNC:14672	ACTR8	protein-coding gene	gene with protein product	Approved
HGNC:17372	ACTR10	protein-coding gene	gene with protein product	Approved
HGNC:24027	ACTRT1	protein-coding gene	gene with protein product	Approved
HGNC:24026	ACTRT2	protein-coding gene	gene with protein product	Approved
HGNC:24022	ACTRT3	protein-coding gene	gene with protein product	Approved
HGNC:171	ACVR1	protein-coding gene	gene with protein product	Approved
HGNC:172	ACVR1B	protein-coding gene	gene with protein product	Approved
HGNC:18123	ACVR1C	protein-coding gene	gene with protein product	Approved
HGNC:173	ACVR2A	protein-coding gene	gene with protein product	Approved
HGNC:174	ACVR2B	protein-coding gene	gene with protein product	Approved
HGNC:175	ACVRL1	protein-coding gene	gene with protein product	Approved
HGNC:177	ACY1	protein-coding gene	gene with protein product	Approved
HGNC:24104	ACY3	protein-coding gene	gene with protein product	Approved
HGNC:179	ACYP1	protein-coding gene	gene with protein product	Approved
HGNC:180	ACYP2	protein-coding gene	gene with protein product	Approved
HGNC:186	ADA	protein-coding gene	gene with protein product	Approved
HGNC:1839	ADA2	protein-coding gene	gene with protein product	Approved
HGNC:30713	ADAD1	protein-coding gene	gene with protein product	Approved
HGNC:30714	ADAD2	protein-coding gene	gene with protein product	Approved
HGNC:198	ADAM2	protein-coding gene	gene with protein product	Approved
HGNC:214	ADAM7	protein-coding gene	gene with protein product	Approved
HGNC:215	ADAM8	protein-coding gene	gene with protein product	Approved
HGNC:216	ADAM9	protein-coding gene	gene with protein product	Approved
HGNC:188	ADAM10	protein-coding gene	gene with protein product	Approved
HGNC:189	ADAM11	protein-coding gene	gene with protein product	Approved
HGNC:190	ADAM12	protein-coding gene	gene with protein product	Approved
HGNC:193	ADAM15	protein-coding gene	gene with protein product	Approved
HGNC:195	ADAM17	protein-coding gene	gene with protein product	Approved
HGNC:196	ADAM18	protein-coding gene	gene with protein product	Approved
HGNC:197	ADAM19	protein-coding gene	gene with protein product	Approved
HGNC:199	ADAM20	protein-coding gene	gene with protein product	Approved
HGNC:200	ADAM21	protein-coding gene	gene with protein product	Approved
HGNC:201	ADAM22	protein-coding gene	gene with protein product	Approved
HGNC:202	ADAM23	protein-coding gene	gene with protein product	Approved
HGNC:206	ADAM28	protein-coding gene	gene with protein product	Approved
HGNC:207	ADAM29	protein-coding gene	gene with protein product	Approved
HGNC:208	ADAM30	protein-coding gene	gene with protein product	Approved
HGNC:15479	ADAM32	protein-coding gene	gene with protein product	Approved
HGNC:15478	ADAM33	protein-coding gene	gene with protein product	Approved
HGNC:16299	ADAMDEC1	protein-coding gene	gene with protein product	Approved
HGNC:217	ADAMTS1	protein-coding gene	gene with protein product	Approved
HGNC:218	ADAMTS2	protein-coding gene	gene with protein product	Approved
HGNC:219	ADAMTS3	protein-coding gene	gene with protein product	Approved
HGNC:220	ADAMTS4	protein-coding gene	gene with protein product	Approved
HGNC:221	ADAMTS5	protein-coding gene	gene with protein product	Approved
HGNC:222	ADAMTS6	protein-coding gene	gene with protein product	Approved
HGNC:223	ADAMTS7	protein-coding gene	gene with protein product	Approved
HGNC:224	ADAMTS8	protein-coding gene	gene with protein product	Approved
HGNC:13202	ADAMTS9	protein-coding gene	gene with protein product	Approved
HGNC:13201	ADAMTS10	protein-coding gene	gene with protein product	Approved
HGNC:14605	ADAMTS12	protein-coding gene	gene with protein product	Approved
HGNC:1366	ADAMTS13	protein-coding gene	gene with protein product	Approved
HGNC:14899	ADAMTS14	protein-coding gene	gene with protein product	Approved
HGNC:16305	ADAMTS15	protein-coding gene	gene with protein product	Approved
HGNC:17108	ADAMTS16	protein-coding gene	gene with protein product	Approved
HGNC:17109	ADAMTS17	protein-coding gene	gene with protein product	Approved
HGNC:17110	ADAMTS18	protein-coding gene	gene with protein product	Approved
HGNC:17111	ADAMTS19	protein-coding gene	gene with protein product	Approved
HGNC:17178	ADAMTS20	protein-coding gene	gene with protein product	Approved
HGNC:14632	ADAMTSL1	protein-coding gene	gene with protein product	Approved
HGNC:14631	ADAMTSL2	protein-coding gene	gene with protein product	Approved
HGNC:14633	ADAMTSL3	protein-coding gene	gene with protein product	Approved
HGNC:19706	ADAMTSL4	protein-coding gene	gene with protein product	Approved
HGNC:27912	ADAMTSL5	protein-coding gene	gene with protein product	Approved
HGNC:16486	ADAP1	protein-coding gene	gene with protein product	Approved
HGNC:16487	ADAP2	protein-coding gene	gene with protein product	Approved
HGNC:225	ADAR	protein-coding gene	gene with protein product	Approved
HGNC:226	ADARB1	protein-coding gene	gene with protein product	Approved
HGNC:227	ADARB2	protein-coding gene	gene with protein product	Approved
HGNC:228	ADAT1	protein-coding gene	gene with protein product	Approved
HGNC:21172	ADAT2	protein-coding gene	gene with protein product	Approved
HGNC:25151	ADAT3	protein-coding gene	gene with protein product	Approved
HGNC:19038	ADCK1	protein-coding gene	gene with protein product	Approved
HGNC:19039	ADCK2	protein-coding gene	gene with protein product	Approved
HGNC:21738	ADCK5	protein-coding gene	gene with protein product	Approved
HGNC:232	ADCY1	protein-coding gene	gene with protein product	Approved
HGNC:233	ADCY2	protein-coding gene	gene with protein product	Approved
HGNC:234	ADCY3	protein-coding gene	gene with protein product	Approved
HGNC:235	ADCY4	protein-coding gene	gene with protein product	Approved
HGNC:236	ADCY5	protein-coding gene	gene with protein product	Approved
HGNC:237	ADCY6	protein-coding gene	gene with protein product	Approved
HGNC:238	ADCY7	protein-coding gene	gene with protein product	Approved
HGNC:239	ADCY8	protein-coding gene	gene with protein product	Approved
HGNC:240	ADCY9	protein-coding gene	gene with protein product	Approved
HGNC:21285	ADCY10	protein-coding gene	gene with protein product	Approved
HGNC:241	ADCYAP1	protein-coding gene	gene with protein product	Approved
HGNC:242	ADCYAP1R1	protein-coding gene	gene with protein product	Approved
HGNC:243	ADD1	protein-coding gene	gene with protein product	Approved
HGNC:244	ADD2	protein-coding gene	gene with protein product	Approved
HGNC:245	ADD3	protein-coding gene	gene with protein product	Approved
HGNC:21212	ADGB	protein-coding gene	gene with protein product	Approved
HGNC:13838	ADGRA1	protein-coding gene	gene with protein product	Approved
HGNC:17849	ADGRA2	protein-coding gene	gene with protein product	Approved
HGNC:13839	ADGRA3	protein-coding gene	gene with protein product	Approved
HGNC:943	ADGRB1	protein-coding gene	gene with protein product	Approved
HGNC:944	ADGRB2	protein-coding gene	gene with protein product	Approved
HGNC:945	ADGRB3	protein-coding gene	gene with protein product	Approved
HGNC:19893	ADGRD1	protein-coding gene	gene with protein product	Approved
HGNC:18651	ADGRD2	protein-coding gene	gene with protein product	Approved
HGNC:3336	ADGRE1	protein-coding gene	gene with protein product	Approved
HGNC:3337	ADGRE2	protein-coding gene	gene with protein product	Approved
HGNC:23647	ADGRE3	protein-coding gene	gene with protein product	Approved
HGNC:1711	ADGRE5	protein-coding gene	gene with protein product	Approved
HGNC:18990	ADGRF1	protein-coding gene	gene with protein product	Approved
HGNC:18989	ADGRF3	protein-coding gene	gene with protein product	Approved
HGNC:19011	ADGRF4	protein-coding gene	gene with protein product	Approved
HGNC:19030	ADGRF5	protein-coding gene	gene with protein product	Approved
HGNC:4512	ADGRG1	protein-coding gene	gene with protein product	Approved
HGNC:4516	ADGRG2	protein-coding gene	gene with protein product	Approved
HGNC:13728	ADGRG3	protein-coding gene	gene with protein product	Approved
HGNC:18992	ADGRG4	protein-coding gene	gene with protein product	Approved
HGNC:19010	ADGRG5	protein-coding gene	gene with protein product	Approved
HGNC:13841	ADGRG6	protein-coding gene	gene with protein product	Approved
HGNC:19241	ADGRG7	protein-coding gene	gene with protein product	Approved
HGNC:20973	ADGRL1	protein-coding gene	gene with protein product	Approved
HGNC:18582	ADGRL2	protein-coding gene	gene with protein product	Approved
HGNC:20974	ADGRL3	protein-coding gene	gene with protein product	Approved
HGNC:20822	ADGRL4	protein-coding gene	gene with protein product	Approved
HGNC:17416	ADGRV1	protein-coding gene	gene with protein product	Approved
HGNC:249	ADH1A	protein-coding gene	gene with protein product	Approved
HGNC:250	ADH1B	protein-coding gene	gene with protein product	Approved
HGNC:251	ADH1C	protein-coding gene	gene with protein product	Approved
HGNC:252	ADH4	protein-coding gene	gene with protein product	Approved
HGNC:253	ADH5	protein-coding gene	gene with protein product	Approved
HGNC:255	ADH6	protein-coding gene	gene with protein product	Approved
HGNC:256	ADH7	protein-coding gene	gene with protein product	Approved
HGNC:16354	ADHFE1	protein-coding gene	gene with protein product	Approved
HGNC:30576	ADI1	protein-coding gene	gene with protein product	Approved
HGNC:28606	ADIG	protein-coding gene	gene with protein product	Approved
HGNC:13633	ADIPOQ	protein-coding gene	gene with protein product	Approved
HGNC:24040	ADIPOR1	protein-coding gene	gene with protein product	Approved
HGNC:24041	ADIPOR2	protein-coding gene	gene with protein product	Approved
HGNC:24043	ADIRF	protein-coding gene	gene with protein product	Approved
HGNC:15873	ADISSP	protein-coding gene	gene with protein product	Approved
HGNC:257	ADK	protein-coding gene	gene with protein product	Approved
HGNC:259	ADM	protein-coding gene	gene with protein product	Approved
HGNC:28898	ADM2	protein-coding gene	gene with protein product	Approved
HGNC:27293	ADM5	protein-coding gene	gene with protein product	Approved
HGNC:15766	ADNP	protein-coding gene	gene with protein product	Approved
HGNC:23803	ADNP2	protein-coding gene	gene with protein product	Approved
HGNC:23506	ADO	protein-coding gene	gene with protein product	Approved
HGNC:262	ADORA1	protein-coding gene	gene with protein product	Approved
HGNC:263	ADORA2A	protein-coding gene	gene with protein product	Approved
HGNC:264	ADORA2B	protein-coding gene	gene with protein product	Approved
HGNC:268	ADORA3	protein-coding gene	gene with protein product	Approved
HGNC:25250	ADPGK	protein-coding gene	gene with protein product	Approved
HGNC:269	ADPRH	protein-coding gene	gene with protein product	Approved
HGNC:21303	ADPRHL1	protein-coding gene	gene with protein product	Approved
HGNC:30925	ADPRM	protein-coding gene	gene with protein product	Approved
HGNC:21304	ADPRS	protein-coding gene	gene with protein product	Approved
HGNC:277	ADRA1A	protein-coding gene	gene with protein product	Approved
HGNC:278	ADRA1B	protein-coding gene	gene with protein product	Approved
HGNC:280	ADRA1D	protein-coding gene	gene with protein product	Approved
HGNC:281	ADRA2A	protein-coding gene	gene with protein product	Approved
HGNC:282	ADRA2B	protein-coding gene	gene with protein product	Approved
HGNC:283	ADRA2C	protein-coding gene	gene with protein product	Approved
HGNC:285	ADRB1	protein-coding gene	gene with protein product	Approved
HGNC:286	ADRB2	protein-coding gene	gene with protein product	Approved
HGNC:288	ADRB3	protein-coding gene	gene with protein product	Approved
HGNC:15759	ADRM1	protein-coding gene	gene with protein product	Approved
HGNC:291	ADSL	protein-coding gene	gene with protein product	Approved
HGNC:20093	ADSS1	protein-coding gene	gene with protein product	Approved
HGNC:292	ADSS2	protein-coding gene	gene with protein product	Approved
HGNC:21214	ADTRP	protein-coding gene	gene with protein product	Approved
HGNC:303	AEBP1	protein-coding gene	gene with protein product	Approved
HGNC:24051	AEBP2	protein-coding gene	gene with protein product	Approved
HGNC:25722	AEN	protein-coding gene	gene with protein product	Approved
HGNC:24017	AFAP1	protein-coding gene	gene with protein product	Approved
HGNC:26714	AFAP1L1	protein-coding gene	gene with protein product	Approved
HGNC:25901	AFAP1L2	protein-coding gene	gene with protein product	Approved
HGNC:7137	AFDN	protein-coding gene	gene with protein product	Approved
HGNC:7135	AFF1	protein-coding gene	gene with protein product	Approved
HGNC:3776	AFF2	protein-coding gene	gene with protein product	Approved
HGNC:6473	AFF3	protein-coding gene	gene with protein product	Approved
HGNC:17869	AFF4	protein-coding gene	gene with protein product	Approved
HGNC:16411	AFG1L	protein-coding gene	gene with protein product	Approved
HGNC:18119	AFG2A	protein-coding gene	gene with protein product	Approved
HGNC:28762	AFG2B	protein-coding gene	gene with protein product	Approved
HGNC:315	AFG3L2	protein-coding gene	gene with protein product	Approved
HGNC:316	AFM	protein-coding gene	gene with protein product	Approved
HGNC:20910	AFMID	protein-coding gene	gene with protein product	Approved
HGNC:317	AFP	protein-coding gene	gene with protein product	Approved
HGNC:25951	AFTPH	protein-coding gene	gene with protein product	Approved
HGNC:318	AGA	protein-coding gene	gene with protein product	Approved
HGNC:16922	AGAP1	protein-coding gene	gene with protein product	Approved
HGNC:16921	AGAP2	protein-coding gene	gene with protein product	Approved
HGNC:16923	AGAP3	protein-coding gene	gene with protein product	Approved
HGNC:23459	AGAP4	protein-coding gene	gene with protein product	Approved
HGNC:23467	AGAP5	protein-coding gene	gene with protein product	Approved
HGNC:23466	AGAP6	protein-coding gene	gene with protein product	Approved
HGNC:23463	AGAP9	protein-coding gene	gene with protein product	Approved
HGNC:26504	AGBL1	protein-coding gene	gene with protein product	Approved
HGNC:26296	AGBL2	protein-coding gene	gene with protein product	Approved
HGNC:27981	AGBL3	protein-coding gene	gene with protein product	Approved
HGNC:25892	AGBL4	protein-coding gene	gene with protein product	Approved
HGNC:26147	AGBL5	protein-coding gene	gene with protein product	Approved
HGNC:320	AGER	protein-coding gene	gene with protein product	Approved
